ID,agent,choice,outcome,RT,block,group,trialno
101,1,0,0,533.4,2,1,15
101,1,1,1,760.3,2,1,16
101,3,1,1,981.3,3,1,1
101,3,0,0,1145.2,3,1,2
101,3,0,0,845.8,3,1,3
101,3,0,1,699.6,3,1,4
101,3,0,0,1616.7,3,1,5
101,3,1,0,1472.9,3,1,6
101,3,0,0,1415.2,3,1,7
101,3,1,1,1477.3,3,1,8
101,3,1,0,576.9,3,1,9
101,3,0,0,2994.5,3,1,10
101,3,1,1,1208.6,3,1,11
101,3,0,0,730.9,3,1,12
101,3,1,1,921.2,3,1,13
101,3,0,1,1047.9,3,1,14
101,3,0,0,830.9,3,1,15
101,3,0,0,940.1,3,1,16
101,2,1,1,1306.4,2,1,1
101,2,1,1,1015.1,2,1,2
101,2,1,1,773.5,2,1,3
101,2,0,1,613.8,2,1,4
101,2,0,0,547.4,2,1,5
101,2,1,0,1833.9,2,1,6
101,2,0,0,615.5,2,1,7
101,2,0,0,644.6,2,1,8
101,2,1,0,693.5,2,1,9
101,2,1,1,1659.1,2,1,10
101,2,1,1,525.9,2,1,11
101,2,1,1,457.4,2,1,12
101,2,1,1,1230.2,2,1,13
101,2,1,0,2569.7,2,1,14
101,2,1,1,1042.8,2,1,15
101,2,0,0,1003,2,1,16
101,1,0,0,905.7,3,1,1
101,1,1,0,1199.4,3,1,2
101,1,1,1,1186.1,3,1,3
101,1,0,0,1287.5,3,1,4
101,1,1,1,1031.4,3,1,5
101,1,1,0,895.1,3,1,6
101,1,,,,3,1,7
101,1,0,0,895.1,3,1,8
101,1,1,0,1150.1,3,1,9
101,1,0,0,1067.4,3,1,10
101,1,0,0,1477.7,3,1,11
101,1,0,0,1538.8,3,1,12
101,1,1,0,814.2,3,1,13
101,1,1,1,1314.3,3,1,14
101,1,1,1,798.8,3,1,15
101,1,0,0,1106,3,1,16
101,2,0,0,1068.3,3,1,1
101,2,0,0,527.2,3,1,2
101,2,1,0,522,3,1,3
101,2,1,1,688.5,3,1,4
101,2,0,0,1001.1,3,1,5
101,2,1,1,887.9,3,1,6
101,2,0,1,528.9,3,1,7
101,2,0,0,483.1,3,1,8
101,2,1,1,766.1,3,1,9
101,2,1,0,399.7,3,1,10
101,2,1,1,492.2,3,1,11
101,2,0,0,1371.3,3,1,12
101,2,1,0,686,3,1,13
101,2,1,1,1782.5,3,1,14
101,2,0,0,585.2,3,1,15
101,2,1,1,1205.1,3,1,16
102,3,1,1,1204.4,1,1,1
102,3,0,0,1261.9,1,1,2
102,3,1,0,763.7,1,1,3
102,3,0,0,1110.5,1,1,4
102,3,1,1,594.7,1,1,5
102,3,0,0,1678.3,1,1,6
102,3,0,1,1065.1,1,1,7
102,3,1,1,1331.8,1,1,8
102,3,1,1,976.1,1,1,9
102,3,1,0,956.7,1,1,10
102,3,1,1,1235.3,1,1,11
102,3,1,1,1133.1,1,1,12
102,3,1,0,2276.4,1,1,13
102,3,1,1,738.2,1,1,14
102,3,1,1,831.8,1,1,15
102,3,1,1,631.2,1,1,16
102,2,0,0,1859.6,1,1,1
102,2,1,0,2645.7,1,1,2
102,2,0,0,1741.3,1,1,3
102,2,1,1,907.2,1,1,4
102,2,1,1,723.9,1,1,5
102,2,1,0,571.6,1,1,6
102,2,1,1,641.7,1,1,7
102,2,1,1,643.1,1,1,8
102,2,1,0,561.9,1,1,9
102,2,1,1,583.5,1,1,10
102,2,1,1,878.4,1,1,11
102,2,1,1,457.7,1,1,12
102,2,1,0,451.3,1,1,13
102,2,1,1,968.4,1,1,14
102,2,1,1,558.1,1,1,15
102,2,1,1,647.4,1,1,16
102,1,1,1,1262.8,1,1,1
102,1,1,1,588.3,1,1,2
102,1,1,1,1124.7,1,1,3
102,1,1,0,1507.2,1,1,4
102,1,1,1,916,1,1,5
102,1,0,1,654.2,1,1,6
102,1,0,0,621.5,1,1,7
102,1,1,1,773.4,1,1,8
102,1,1,0,600.3,1,1,9
102,1,0,0,1019.2,1,1,10
102,1,1,1,741.4,1,1,11
